idx	aarc	cluster	cluster_dist	count
0	however>*	1	0.8091485835115328	12863
1	start_*	7	0.8830740647539309	393
2	is_*	5	0.809364972421261	152172
3	is_more	0	1.0252260535101432	207
4	as>for	0	0.7916546651786658	2368
5	as>*	3	0.7796187033188935	27380
6	assure_*	3	0.7608808619610568	5502
7	for_*	0	1.0691801952810522	329
8	for>*	0	1.103418124909956	3436
9	is_matters	0	0.8985210644888001	127
10	what>matters	0	0.8910490778420187	115
11	what>*	0	0.8686282417790584	5192
12	is_welcome	5	0.8687863488246613	344
13	is_important	5	0.7169039921203872	7863
14	go_not	7	0.9256891644240596	274
15	go_on	0	0.9246695261901262	236
16	go_*	0	0.9513911490631826	1811
17	go_can	7	0.9451954345030394	204
18	committed_*	2	0.8516249328733632	1094
19	be_important	7	0.9183916249819274	144
20	committed_to	2	0.8559227098191184	748
21	be_*	7	0.9234124360099012	29858
22	be_will	7	0.921841952146301	13454
23	be_in	7	0.915802198783566	1609
24	include_*	1	0.928686526215349	773
25	include_will	7	0.9154427813333725	193
26	committed_have	2	0.8048647281332233	239
27	over>*	0	0.9728859089180114	722
28	join_in	5	0.9288652136568185	300
29	told_*	0	0.8493085303987037	979
30	join_*	5	0.9352119132194227	986
31	equally>*	4	1.0129492957880135	295
32	condemn_*	5	0.741185744085563	233
33	is_of	5	0.8733946842687601	2012
34	is_focus	5	1.01133049178611	139
35	know_*	6	0.879123298876958	12301
36	am_*	6	0.6556402361524684	38986
37	am_grateful	6	0.7462824831084536	6644
38	is_right	2	0.7602202825092218	18027
39	is_put	4	0.9889121888702758	507
40	am_pleased	2	0.6506847815908161	1987
41	doing_is	2	0.7820101483365975	495
42	will>be	3	0.8643988694988702	626
43	doing_*	2	0.7257974943690063	2112
44	will>*	3	0.787341843733008	3654
45	strengthened_*	7	0.9782947626848166	101
46	is_course	0	1.0046068631442282	1015
47	is_also	5	0.8508527788368097	1159
48	of>*	6	0.9681384376402237	6517
49	of>course	6	0.9583923567091583	5647
50	on>*	7	0.8254214914079272	6603
51	express_*	7	1.0021416190775203	125
52	has_*	5	0.9272793386505469	6009
53	at>*	7	0.999917759854385	3136
54	shows_*	0	0.8867603133561781	1573
55	take_*	6	0.8550581467715233	6656
56	take_should	6	0.9326945811422264	305
57	thank_for	6	0.829471006587472	1721
58	thank_*	2	0.7427967883948093	4233
59	devolved_*	2	0.8646571958604758	105
60	is_for	4	0.8102326488192787	1733
61	is_be	5	0.7639644317130742	2115
62	understand_*	6	0.7771581488016422	6697
63	looking_are	2	1.047708494415478	1675
64	looking_at	2	1.047174157471325	1639
65	looking_*	2	1.0521918058937707	2643
66	in_*	0	0.91999779857097	1563
67	in>so	0	0.8512387886504756	108
68	in>*	0	0.9432955373372829	16978
69	that>*	1	0.7916010322684793	1291
70	that_*	5	0.8851755437043859	136
71	reassure_*	3	0.7643455632752166	728
72	remind_*	4	0.7159139995275959	1849
73	are_however	4	1.0258238813061917	650
74	are_*	2	0.9656756380842857	30518
75	is_in	4	0.8956843575139393	5373
76	is_there	5	1.0614862888144476	13512
77	came_*	0	0.898541890089971	479
78	if>*	7	0.8871490477988734	16325
79	set_up	7	1.0680624895544297	632
80	set_was	7	1.0704010163376034	186
81	set_by	7	1.0646023066720494	126
82	set_*	7	1.0623770313163654	2429
83	there>*	3	1.1198653758704895	22151
84	there>is	5	1.0875694318186961	10195
85	as_*	0	0.8854545402101263	806
86	as_for	0	0.8403054122898032	288
87	undoubtedly>*	3	1.058054873194306	102
88	committed_are	2	0.8663284565921943	435
89	is_take	5	0.7516672063579526	777
90	had_*	2	0.9012740754638591	5360
91	had_has	2	1.0232106694424155	581
92	been_*	3	1.0942863312066695	12761
93	been_have	3	1.0900958188735361	5444
94	there>have	3	1.0894096599257417	843
95	been_there	3	1.0973165252154413	3751
